name_of_project,country,partner,grant,description
Enhancing Citizensâ€™ Participation in the Electoral Process,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Association Congolaise des Technologies de lâ€™Information et de la Communication,60000,"To maximize citizensâ€™ participation in the upcoming national and provincial elections. The grantee will design a virtual toolbox that will inform eligible voters on electoral operations and the platforms of the various candidates. Upon releasing the toolbox, the grantee will also undertake a major awareness campaign that will feature workshops on how to use the toolbox effectively, and debates on the electoral process, human rights, and governance."
Enhancing Youthâ€™s Capacity to Mobilize for Democratic Alternation of Power,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Espace Inter Plate-formes des Jeunes,45000,To encourage Kinshasa-based youth activists to campaign for democratic alternation of power. The grantee will recommend suitable ways for the Congolese government to open the political space and commit to organizing credible elections. The grantee will also train several youth activists before assisting them in conducting a peaceful awareness campaign in Kinshasa.
Ensuring Peaceful Elections in Kasai-Oriental and Lomami,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Centre dâ€™Etude et de Formation Populaire pour les Droits de lâ€™Homme,65000,"To help create conditions for a smooth electoral process in the provinces of Kasai-Oriental and Lomami. The grantee will organize information sessions, town hall meetings, and community forums in Mbuji-Mayi and Mwene-Ditu. It will also undertake a major election awareness campaign during which more than one hundred community leaders will mobilize citizens in the 24 zones targeted by the project."
Increasing Youthâ€™s Involvement in the Democratic Process in Equateur Province,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Cadre de Concertation des Jeunes pour les Elections Apaisees,34878,"To mobilize the populations of Equateur for the upcoming national and provincial elections. The program will organize town hall meetings, retreats, trainings, and radio programs in three key localities. It will also promote dialogue through a roundtable that will bring together youth leaders, provincial authorities, and representatives of the security services."
Mobilizing Citizens for Democratic Alternation of Power,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Dynamique Intergenerationnelle pour la Democratie en Afrique,65000,"To enhance citizensâ€™ capacity to scrutinize preparations for the elections. The grantee will hold a conference on the use of voting machines and launch a campaign for democratic alternation of power. In addition to conducting a campaign against electoral fraud, the grantee will also strengthen collaboration among pro-democracy activists from Kinshasa, Lubumbashi, Goma, Kisangani, Mbandaka, and Mbuji-Mayi."
Mobilizing Citizensâ€™ Movements to Support Women and Youth in the Election,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Centre de Formation et dâ€™Action pour le Developpement,35000,"To mobilize civil society organizations and citizensâ€™ movements to work together to elect women and youth and advocate for free and fair elections. Â The organization will host trainings for leaders and members of citizensâ€™ movements to teach advocacy techniques, coordinate activities, and promote the inclusion of women and youth in politics. They will also launch a campaign to educate citizens on these activities through plays performed in public spaces and radio programming."
Monitoring and Advocacy of Human Rights and Public Liberties,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY","Collectif pour le Developpement Economique, Social et Culturel Integre",44800,"To build the capacity of civil society in KasaÃ¯ Oriental, and to strengthen public liberties and good governance in the province. The group will monitor human rights and public liberties and publish its observation reports in several outlets. The organization will also hold a series of workshops to help CSOs develop stronger mediation and advocacy skills, and to make use of ICTs to monitor good governance. Finally, the partner will promote the Congolese peopleâ€™s political participation through public forums."
Monitoring Preparations for the Elections,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Reseau pour la Reforme du Secteur de Securite et de Justice,60000,"To help Congolese civil society scrutinize preparations for the provincial, legislative, and national elections. The grantee will investigate potential obstacles to the success of the electoral process, and then present its findings at conferences. The grantee will also engage with government officials on the electoral issues and undertake two trips to discuss the security and electoral concerns with like-minded partners."
Preparing Citizens for the Elections,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Amis de Nelson Mandela pour la Defense des Droits de lâ€™Homme,36000,"To prepare residents of Kisangani for the electoral process. The grantee will build the capacity of citizen movements to mobilize potential voters in the cityâ€™s six municipalities. The grantee will also organize a series of town hall meetings that will stress the importance of voting during the presidential, legislative, and provincial elections."
Preventing and Protecting Citizens Against Human Rights Abuses in North Kivu,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Solidarite sans Frontiere,54645,"To improve the capacity of local officials and security forces to protect the population in North Kivu. The group will raise awareness among judicial authorities in Masisi-Sud, Walikale, and Nyiragongo regarding national and international human rights laws. This includes trainings on handling peaceful protesters, legal arrests and detentions, and management of detention centers. Furthermore, the group will coordinate local protection committees in the target areas that will monitor activities of armed groups in North Kivu and report human rights abuses."
Preventing Electoral Conflict in Tshangu District,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Ligue des Femmes pour le Developpement et lâ€™Education a la Democratie,40000,"To help mitigate electoral conflict in Tshangu District. The grantee will train and deploy mediators, and organize citizen forums for over a thousand citizens. It will also publish an election mediator guide, and sponsor six theatrical performances to discourage those who contest election results from using violence against their rivals and electoral commission officials."
Preventing Electoral Fraud in Seke-Banza Territory,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Association Congolaise de Droit de lâ€™Homme pour le Developpement Democratique,35000,"To prevent electoral fraud in Seke-Banza Territory. The grantee will hold trainings on observation techniques and establish observation groups made up of civil society and community leaders. In addition, the grantee will implement an awareness campaign consisting of a theatrical performance, a song, and electoral messages, all of which will air on three local radio stations."
Preventing Political Violence in Equateur and Tshuapa Provinces,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Commission Diocesaine Justice et Paix Mbandaka,50380,"To ensure respect for human rights ahead of the elections in rural areas of Equateur and Tshuapa provinces. The grantee will hold capacity-building sessions and establish several consultation groups composed of key stakeholders. It will also organize town hall meetings, produce radio programs, and schedule advocacy meetings with the relevant local officials."
Promoting Civic Participation in Lubero Territory,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Centre dâ€™Education Nutritionnelle et Environnementale pour le Developpement,33450,"To promote civic education and encourage citizens to actively participate in their government. Â The organization will host conferences with CSOs and influential leaders to engage with elected officials and discuss the importance of election participation. Â They will train radio journalists on how to effectively discuss elections. Finally, the grantee will host roundtables on creating a culture of accountability and dialogues between citizens and elected officials."
Promoting Credible and Peaceful Elections,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Agir pour des Elections Transparentes et Apaisees,77556,"To strengthen civil societyâ€™s capacity to monitor the electoral process. The grantee will organize several stakeholder workshops, engage in advocacy activities, and conduct fact-finding missions in key provinces. In addition to training and deploying election observers, the grantee will implement an awareness campaign consisting of televised talk shows, candidate debates, a documentary, and a play on democratic alternation of power."
Promoting Fundamental Rights in the Electoral Process in Kisangani,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Congo en Images,40000,"To promote the exercise of fundamental freedoms in the media during the electoral process, and to strengthen the capacity of women leaders of civil society to promote fundamental freedoms during the electoral process. In collaboration with media outlets, the partner will also hold an advocacy campaign regarding the role of the media in strengthening democracy, and regarding the rights of citizens to exercise their civil liberties during the electoral process."
Promoting Human Rights and Citizen Participation in Kwilu Province,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Oeuvres Communautaires pour lâ€™Auto-Promotion,40000,"To encourage the populations of Kwilu Province to demand democratic alternation of power. The grantee will organize trainings, town hall meetings, and citizen forums on elections and human rights. Â In addition to producing radio programs on the democratic process, the grantee will also promote greater youth political participation by establishing citizen movements in three cities of Kwilu Province."
"Promoting Human Rights, Good Governance, and Credible Elections in Urban and Rural Communities","Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY","Ligue Congolaise pour la Paix, les Droits de lâ€™Homme et les Elections",42310,"To promote respect for human rights and good governance in urban and rural communities. The grantee will conduct special investigations and organize town hall meetings and roundtables bringing together citizens and all relevant officials. The project will also promote free and fair elections by holding several election-focused workshops and conducting a major awareness campaign that will include trainings, symposiums, and audiovisual programs."
Promoting Unity Among Youth Leaders Throughout the Electoral Process,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Collectif des Organisations des Jeunes Solidaires du Congo Kinshasa,57300,To prevent repression against youth activists in Kinshasa. The grantee will train several youth leaders on how to observe peaceful assembly. It will encourage collaboration among pro-democracy youth leaders and enhance the relationship between youth activists and the security services through regular meetings with representatives of both groups. It will also advocate the release of youth activists arrested during peaceful assembly.
Promoting Youth Involvement in the Electoral Process,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Karibu Jeunesse Nouvelle Bukavu,40006,"To promote youth political participation in South Kivu. The grantee will conduct a comparative study on youth participation in the 2006 and 2011 elections. Following the study, it will host a roundtable with political actors to discuss the results. The grantee will create an information and documentation center to provide youth from South Kivu with conflict resolution resources and political process updates. The organization will also host radio shows and organize a cultural festival to promote peace and non-violence during the electoral process."
Promoting Youth Participation in the Electoral Process in Eastern DRC,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Benevolat pour lâ€™Enfance,45000,"To promote political engagement and participation among youth. The grantee will assess the political knowledge possessed by youth in South Kivu tailor a series of civic education and electoral trainings to their circumstances. To demonstrate political mechanisms in action, the grantee will hold four mock elections. Moreover, the grantee will provide opportunities for youth and local authorities to convene and discuss the electoral process."
Reinforcing the Capacities of Electoral Actors,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Femmes Artisanes de la Paix,43000,"To facilitate the holding of upcoming elections in the territory of Uvira and consolidate good governance and democracy in South Kivu Province. The grantee will prepare local electoral stakeholders to monitor the current political crisis closely and discuss recommendations to contribute to successful elections. Then, the group will improve the populationâ€™s understanding of democracy ahead of the elections through a series of workshops."
Strengthening Provincial Members of Parliament and Civil Society in South Kivu to Facilitate Credible Elections in 2018,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Centre dâ€™Appui a lâ€™Education et au Developpement Communautaire,45000,"To promote collaboration between civil society, members of Parliament, and the population to ensure peaceful and democratic elections. The grantee will host a series of trainings designed to promote collaboration between various political actors, especially civil society and members of Parliament. Topics discussed will include communication, advocacy and lobbying, and unified messaging. The grantee will also organize public forums to promote interaction and dialogue between citizens and their elected officials. A series of radio programs will inform citizens of updates to the electoral process."
"Supporting Electoral Dialogue between Citizen Movements and Local Authorities, and Citizen Access to Elected Officials","Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Initiative Congolaise pour la Justice et la Paix,45000,To reinforce the capacities of citizen movements and to promote a peaceful electoral process. The grantee will organize workshops and follow-up sessions to discuss the philosophy of citizen movements. Trainings convening civil society and members of citizen movements will inform the population of updates to the electoral process and reinforce non-violence. They will also produce monthly reports on human rights violations and host educational radio programs throughout the project.
Supporting Non-Violent Advocacy by Womenâ€™s Groups in the DRC,"Congo, Democratic Republic 2018 - NATIONAL ENDOWMENT FOR DEMOCRACY",Actions et Initiatives de Developpement pour la Protection de la Femme et de lâ€™Enfant,40000,To mobilize womenâ€™s groups and positively reinforce their role in preventing violence during the political crisis in the DRC. Â The organization will equip womenâ€™s groups in North Kivu with the necessary knowledge of their rights guaranteed by the constitution and international laws. Â They will also engage womenâ€™s groups and help coordinate their efforts to non-violently advocate for human rights and peaceful elections during a tense electoral period in the country.
Another Documentary To Counter Impunity,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Human Rights,78000,"To highlight the negative impact of impunity on the consolidation of democracy in the Democratic Republic of the Congo, the grantee will produce a documentary film covering some of the darkest moments of the 2018 pre-election turmoil and ongoing efforts towards solving various cases of political violence. The film will also feature testimonies from government officials, judicial authorities, youth activists, scholars, and the families of victims."
Building Civil Societyâ€™s Capacity to Strengthen State Institutions,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Dynamique Intergenerationnelle pour la Democratie en Afrique,75000,"To help civil society strengthen public institutions in the aftermath of the electoral cycle, the grantee will lead a new consortium of civil society organizations and organize a symposium devoted to governance reforms in the Congo. The grantee will also launch a campaign for judicial reforms, and undertake initiatives aimed at boosting the political participation of marginalized groups."
Defending Press Freedom during the Electoral Cycle,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Observatoire de la Liberte de la Presse en Afrique,62755,"To defend press freedom during the electoral cycle. The grantee will investigate abuses against independent journalists, publish statements on its website, and monitor the trials of journalists. It will also provide free legal aid, maintain an emergency line for journalists in danger, convene a two-day meeting on journalism ethics, hold a workshop on the role and challenges of digital journalism, and organize press forums on the electoral process."
Defending the Rights of Rural Communities in Kasai Oriental,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY","Collectif pour le Developpement Economique, Social et Culturel Integre",44800,"To reinforce the capacity of rural civil society organizations to defend the rights of their communities and improve the accountability of public officials. The grantee will develop a network of human rights campaigners in 12 municipalities in Kasai-Oriental Province. After the trainings, these campaigners will utilize mobile technology to document and report human rights violations from their various localities and will facilitate collaboration between civil society, local populations, and elected officials to reduce political violence and human rights violations."
"Defending the Civil, Human, and Political Rights of Persons with Disabilities","Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Federation Nationale des Associations des Personnes Vivant avec Handicap du Congo,70128,"To defend the civil, human, and political rights of persons with disabilities. The grantee will organize several advocacy meetings with relevant officials and closely monitor the governmentâ€™s compliance to international standards related to the treatment of persons with disabilities. In addition to organizing awareness symposiums for business executives, the grantee will mobilize thousands of persons with disabilities to participate in the electoral process through public conferences, town hall meetings, and radio and television programs."
Empire of Silence,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Human Rights,57303,"To persuade domestic and international actors to end the long cycle of conflict and impunity in the Congo, the grantee will produce a documentary film that will not only cover recent outbreaks of violence, but also reveal various aspects of the United Nations Mapping Report, which describes 617 serious cases of violations of international law and human rights that occurred between 1994 and 2004."
Encouraging Youth Engagement in the Democratic Process,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Espace Inter Plate-Formes des Jeunes,49000,"To promote youth engagement in the democratic process in Kinshasa Province, the grantee will organize multiple town hall meetings on the need to prevent the political manipulation of youth before and during the local elections. The grantee will also supervise an awareness campaign, which will include a peaceful march and a free concert aimed at stressing the role of youth in ensuring a stable post-election environment."
Engaging Citizen Movements to Support a Transparent Electoral Process,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Initiative Congolaise pour la Justice et la Paix,45000,To reinforce the capacities of citizen movements and to promote a peaceful electoral process. The grantee will organize workshops to discuss the philosophy of citizen movements as well as a series of follow-up sessions. Trainings convening civil society and members of citizen movements will inform the population of updates in the electoral process and reinforce non-violence. They will also produce monthly reports of human rights violations and host educational radio programs throughout the project.
"Engaging Youth to Promote Human Rights, Good Governance, and Peace in South Kivu","Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Karibu Jeunesse Nouvelle Bukavu,42000,"To promote good governance and respect for human rights in South Kivu, the grantee will engage musicians and comedians from the region to highlight human rights and governance issues in the DRC.Â The organization will host their fifth annual festival to perform selected works and promote their message among Congolese youth.Â Finally, the organization will release quarterly reports documenting human rights abuses."
Enhancing Citizen Oversight of Government Action in Kasai-Oriental and Lomami,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Centre dâ€™Etude et de Formation Populaire,67220,"To help citizens monitor the implementation of public policies in the provinces of Kasai-Oriental and Lomami, the grantee will train local community leaders on participatory budgeting and policy formulation. The grantee will also establish a community coordination committee, and assist civil society in preparing and proposing development projects that reflect that most urgent needs in the targeted communities."
Enhancing Citizen Participation in Elections in Kinshasa and Kikwit,"Congo, Democratic Republic 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY",Reseau dâ€™Education Civique au Congo,66380,"To promote good governance and maximize citizen participation in the upcoming elections. The grantee will organize town hall meetings in Kinshasa and Kwilu provinces. It will also endorse new public policies, host community assessments on governance and elections, launch a far-reaching election awareness campaign, collect information on different steps of the electoral process, and frequently engage the electoral commission and prospective candidates on issues at hand."
